station_id,name,short_name,latitude,longitude,region_id,rental_methods,capacity,eightd_has_key_dispenser,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,eightd_has_available_keys,last_reported
4454,Audubon Ave & W 192 St,8469.01,-73.927128,40.85564,71,"CREDITCARD,KEY",21,false,0,2,19,0,true,true,true,false,2021-07-19T00:00:00
4471,Amsterdam Ave & W 186 St,8394.15,-73.928808,40.851113,71,"CREDITCARD,KEY",21,false,0,0,21,0,true,true,true,false,2021-07-18T00:00:00
4506,W Tremont Ave & Grand Ave,8384.03,-73.912785,40.850036,71,"CREDITCARD,KEY",21,false,0,0,21,0,true,true,true,false,2021-07-18T00:00:00
4515,W Tremont Ave & Montgomery Ave,8407.03,-73.916418,40.851788,71,"CREDITCARD,KEY",21,false,0,2,18,1,true,true,true,false,2021-07-18T00:00:00
4623,Buchanan Pl & Grand Ave,8535.01,-73.90626,40.85834,71,"CREDITCARD,KEY",21,false,0,1,20,0,true,true,true,false,2021-07-18T00:00:00
4636,W 192 St & University Ave,8639.01,-73.901942,40.866899,71,"CREDITCARD,KEY",21,false,0,0,21,0,true,true,true,false,2021-07-18T00:00:00
3787,Dock 72 Way & Market St,4804.02,-73.97141,40.69985,71,"CREDITCARD,KEY",22,false,0,0,22,0,true,true,true,false,2021-07-18T00:00:00
4556,Grand Ave & W Fordham Rd,8571.02,-73.90316,40.86288,71,"CREDITCARD,KEY",22,false,0,2,20,0,true,true,true,false,2021-07-19T00:00:00
4581,E Mosholu Pkwy & Van Cortlandt Ave E,8778.01,-73.88366,40.87656,71,"CREDITCARD,KEY",22,false,0,2,20,0,true,true,true,false,2021-07-18T00:00:00
3757,Stagg St & Morgan Ave,5170.01,-73.93372,40.710681,71,"CREDITCARD,KEY",23,false,0,0,23,0,true,true,true,false,2021-07-19T00:00:00
3760,Willoughby Ave & Wyckoff Ave,5010.02,-73.92153,40.705614,71,"CREDITCARD,KEY",23,false,0,0,23,0,true,true,true,false,2021-07-19T00:00:00
3769,White St & Johnson Ave,5099.03,-73.93581,40.707174,71,"CREDITCARD,KEY",23,false,0,4,19,0,true,true,true,false,2021-07-19T00:00:00
3814,E 56 St & Madison Ave,6732.01,-73.972628,40.761573,71,"CREDITCARD,KEY",23,false,0,0,23,0,true,true,true,false,2021-07-19T00:00:00
4008,Broadway & W 142 St,7981.16,-73.951947,40.824686,71,"CREDITCARD,KEY",23,false,0,0,23,0,true,true,true,false,2021-07-19T00:00:00
4062,Amsterdam Ave & W 175 St,8278.05,-73.933651,40.844044,71,"CREDITCARD,KEY",23,false,0,1,22,0,true,true,true,false,2021-07-18T00:00:00
4500,W Burnside Ave & University Ave,8425.01,-73.912498,40.853686,71,"CREDITCARD,KEY",23,false,0,1,0,22,true,true,true,false,2021-07-19T00:00:00
4505,University Ave & Brandt Pl,8366.07,-73.918389,40.848354,71,"CREDITCARD,KEY",23,false,0,0,23,0,true,true,true,false,2021-07-19T00:00:00
4572,Valentine Ave & E 183 St,8472.06,-73.898237,40.856987,71,"CREDITCARD,KEY",23,false,0,1,22,0,true,true,true,false,2021-07-19T00:00:00
4573,Morris Ave & E 184 St,8550.04,-73.90079,40.86008,71,"CREDITCARD,KEY",23,false,0,2,0,21,true,true,true,false,2021-07-19T00:00:00
3779,Hart St & Wyckoff Ave,4971.01,-73.919911,40.704876,71,"CREDITCARD,KEY",24,false,0,0,24,0,true,true,true,false,2021-07-18T00:00:00
3816,Metropolitan Ave & Vandervoort Ave,5241.02,-73.93323,40.71429,71,"CREDITCARD,KEY",24,false,0,0,24,0,true,true,true,false,2021-07-18T00:00:00
3854,Morgan Ave & Maspeth Ave,5354.01,-73.93637,40.716657,71,"CREDITCARD,KEY",24,false,0,0,24,0,true,true,true,false,2021-07-18T00:00:00
3865,Knickerbocker Ave & Cooper St,4582.05,-73.90448,40.69081,71,"CREDITCARD,KEY",24,false,0,0,24,0,true,true,true,false,2021-07-19T00:00:00
4005,St. Nicholas Terrace & Convent Ave,7937.15,-73.947868,40.821294,71,"CREDITCARD,KEY",24,false,0,1,23,0,true,true,true,false,2021-07-18T00:00:00
4056,Broadway & W 165 St,8191.01,-73.941409,40.839137,71,"CREDITCARD,KEY",24,false,0,2,22,0,true,true,true,false,2021-07-19T00:00:00
4069,Cabrini Blvd & W 177 St,8358.10,-73.941343,40.848282,71,"CREDITCARD,KEY",24,false,0,0,24,0,true,true,true,false,2021-07-19T00:00:00
4070,W 180 St & Ft Washington Ave,8358.03,-73.938423,40.849972,71,"CREDITCARD,KEY",24,false,0,2,22,0,true,true,true,false,2021-07-19T00:00:00
4229,Sheridan Ave & E 172 St,8229.04,-73.911479,40.840494,71,"CREDITCARD,KEY",24,false,0,0,24,0,true,true,true,false,2021-07-18T00:00:00
4565,Bedford Park Blvd & Paul Ave,8752.01,-73.89186,40.87444,71,"CREDITCARD,KEY",24,false,0,1,23,0,true,true,true,false,2021-07-18T00:00:00
3850,Jefferson St & Cypress Ave,5082.08,-73.92157,40.70907,71,"CREDITCARD,KEY",25,false,0,0,25,0,true,true,true,false,2021-07-18T00:00:00
3895,Cypress Ave & Palmetto St,4921.04,-73.90876293182373,40.701573408737914,71,"CREDITCARD,KEY",25,false,0,0,25,0,true,true,true,false,2021-07-18T00:00:00
335,Washington Pl & Broadway,5755.01,-73.99404649,40.72903917,71,"CREDITCARD,KEY",27,false,0,1,26,0,true,true,true,false,2021-07-19T00:00:00
545,E 23 St & 1 Ave,5929.01,-73.97809472,40.736502,71,"CREDITCARD,KEY",27,false,0,0,0,0,true,true,true,false,1970-01-01T00:00:00
3775,Suydam St & Knickerbocker Ave,4939.07,-73.923769,40.702013,71,"CREDITCARD,KEY",27,false,0,1,26,0,true,true,true,false,2021-07-19T00:00:00
4047,Amsterdam Ave & W 156 St,8104.10,-73.942386,40.832081,71,"CREDITCARD,KEY",27,false,0,0,27,0,true,true,true,false,2021-07-18T00:00:00
4055,W 165 St & Fort Washington Ave,8226.05,-73.942939,40.84004,71,"CREDITCARD,KEY",27,false,0,0,27,0,true,true,true,false,2021-07-18T00:00:00
4270,62 St & Northern Blvd,6536.02,-73.900318,40.754176,71,"CREDITCARD,KEY",27,false,0,17,0,10,true,true,true,false,2021-07-19T00:00:00
3378,E 76 St & Park Ave,7128.08,-73.96222088,40.773763,71,"CREDITCARD,KEY",28,false,0,2,26,0,true,true,true,false,2021-07-19T00:00:00
4501,Walton Ave & E 183 St,8514.05,-73.90266,40.858472,71,"CREDITCARD,KEY",29,false,0,1,28,0,true,true,true,false,2021-07-18T00:00:00
4096,Grand Concourse & E 167 St,8126.07,-73.917641,40.834263,71,"CREDITCARD,KEY",30,false,0,4,26,0,true,true,true,false,2021-07-19T00:00:00
4059,W 171 St & St. Nicholas Ave,8262.07,-73.938631,40.842941,71,"CREDITCARD,KEY",31,false,0,0,31,0,true,true,true,false,2021-07-19T00:00:00
3848,Suydam St & Broadway,4689.03,-73.93223,40.69544,71,"CREDITCARD,KEY",32,false,0,24,0,8,true,true,true,false,2021-07-19T00:00:00
3610,Vernon Blvd & 30 Rd,7003.03,-73.934171,40.770845,71,"CREDITCARD,KEY",33,false,0,22,0,11,true,true,true,false,2021-07-19T00:00:00
456,E 53 St & Madison Ave,6659.03,-73.97402311,40.7597108,71,"CREDITCARD,KEY",34,false,0,0,34,0,true,true,true,false,2021-07-19T00:00:00
3235,E 41 St & Madison Ave,6474.12,-73.979921936988816,40.752165280621966,71,"CREDITCARD,KEY",34,false,0,1,33,0,true,true,true,false,2021-07-19T00:00:00
4009,Riverside Dr & W 145 St,8018.04,-73.951989,40.827305,71,"CREDITCARD,KEY",35,false,0,0,35,0,true,true,true,false,2021-07-18T00:00:00
4073,W 51 St & Rockefeller Plaza,6700.14,-73.978081941604614,40.759699959062537,71,"CREDITCARD,KEY",35,false,0,0,35,0,true,true,true,false,2021-07-19T00:00:00
3231,E 67 St & Park Ave,6932.14,-73.965920805931091,40.767800801481322,71,"CREDITCARD,KEY",39,false,0,2,37,0,true,true,true,false,2021-07-19T00:00:00
4058,Madison Av & E 51 St,6659.09,-73.97513,40.75863,71,"CREDITCARD,KEY",41,false,0,0,41,0,true,true,true,false,2021-07-19T00:00:00
3539,W 116 St & Amsterdam Ave,7692.11,-73.9607082,40.8067581,71,"CREDITCARD,KEY",43,false,0,0,43,0,true,true,true,false,2021-07-18T00:00:00
3992,W 169 St & Fort Washington Ave,8282.13,-73.9421253,40.8428422,71,"CREDITCARD,KEY",47,false,0,1,46,0,true,true,true,false,2021-07-18T00:00:00
483,E 12 St & 3 Ave,5788.12,-73.98889957,40.73223272,71,"CREDITCARD,KEY",48,false,0,45,0,3,true,true,true,false,2021-07-19T00:00:00
510,W 51 St & 6 Ave,6740.10,-73.98042047,40.7606597,71,"CREDITCARD,KEY",55,false,0,1,54,0,true,true,true,false,2021-07-19T00:00:00
362,Broadway & W 37 St,6441.02,-73.98753523,40.75172632,71,"CREDITCARD,KEY",57,false,0,2,55,0,true,true,true,false,2021-07-19T00:00:00
469,Broadway & W 53 St,6779.05,-73.98268129,40.76344058,71,"CREDITCARD,KEY",57,false,0,0,0,0,false,false,false,false,1970-01-01T00:00:00
153,E 40 St & 5 Ave,6474.11,-73.9816324043,40.752062307,71,"CREDITCARD,KEY",63,false,0,2,61,0,true,true,true,false,2021-07-19T00:00:00
492,W 33 St & 7 Ave,6407.07,-73.99093085,40.75019995,71,"CREDITCARD,KEY",68,false,0,2,66,0,true,true,true,false,2021-07-19T00:00:00
517,Pershing Square South,6432.08,-73.97791,40.751581,71,"CREDITCARD,KEY",69,false,0,2,67,0,true,true,true,false,2021-07-19T00:00:00
477,W 41 St & 8 Ave,6602.03,-73.9900262,40.75640548,71,"CREDITCARD,KEY",71,false,0,3,0,68,true,true,true,false,2021-07-19T00:00:00
245,Myrtle Ave & St Edwards St,4659.02,-73.97703874,40.69327018,71,"CREDITCARD,KEY",79,false,0,77,0,2,true,false,false,false,2021-07-19T00:00:00
3184,Paulus Hook,JC002,-74.0335519,40.7141454,70,"CREDITCARD,KEY",14,false,1,0,13,0,true,true,true,false,2021-07-19T00:00:00
3849,Suydam St & St. Nicholas Ave,5043.06,-73.91945,40.70636,71,"CREDITCARD,KEY",17,false,1,0,16,0,true,true,true,false,2021-07-18T00:00:00
3202,Newport PATH,JC066,-74.0337589,40.7272235,70,"CREDITCARD,KEY",18,false,1,3,14,0,true,true,true,false,2021-07-19T00:00:00
4112,Wards Meadow Comfort Station,7327.01,-73.93077,40.78294,71,"CREDITCARD,KEY",18,false,1,2,15,0,true,true,true,false,2021-07-18T00:00:00
3598,Newton Rd & 44 St,6743.06,-73.9142678,40.7595701,71,"CREDITCARD,KEY",19,false,1,0,18,0,true,true,true,false,2021-07-19T00:00:00
3759,Irving Ave & Jefferson St,5051.02,-73.92535,40.70538,71,"CREDITCARD,KEY",19,false,1,0,18,0,true,true,true,false,2021-07-19T00:00:00
3772,Devoe St & Morgan Ave,5282.02,-73.93515,40.713811,71,"CREDITCARD,KEY",19,false,1,0,18,0,true,true,true,false,2021-07-19T00:00:00
3952,E 141 St & Jackson Ave,7703.14,-73.911837,40.806896,71,"CREDITCARD,KEY",19,false,1,1,17,0,true,true,true,false,2021-07-19T00:00:00
4127,Ogden Ave & Merriam Ave,8218.04,-73.925961,40.839142,71,"CREDITCARD,KEY",19,false,1,0,18,0,true,true,true,false,2021-07-18T00:00:00
4129,Anderson Ave & W 164 St,8096.03,-73.927421,40.832057,71,"CREDITCARD,KEY",19,false,1,0,18,0,true,true,true,false,2021-07-18T00:00:00
4158,Freeman St & Reverend James A Polite Ave,8080.01,-73.894717,40.830529,71,"CREDITCARD,KEY",19,false,1,0,18,0,true,true,true,false,2021-07-19T00:00:00
4168,Mount Eden Pkwy & Eastburn Ave,8245.03,-73.908544,40.842675,71,"CREDITCARD,KEY",19,false,1,0,18,0,true,true,true,false,2021-07-19T00:00:00
4305,34 Ave & 31 St,6720.07,-73.927144110202789,40.759604471387945,71,"CREDITCARD,KEY",19,false,1,1,17,0,true,true,true,false,2021-07-18T00:00:00
4512,Jerome Ave & E 181 St,8478.11,-73.905528,40.855653,71,"CREDITCARD,KEY",19,false,1,1,17,0,true,true,true,false,2021-07-19T00:00:00
4608,Grand Concourse & E 205 St,8766.03,-73.8863864831,40.875531,71,"CREDITCARD,KEY",19,false,1,0,18,0,true,true,true,false,2021-07-18T00:00:00
3853,Harrison Pl & Porter Ave,5090.06,-73.92851,40.70686,71,"CREDITCARD,KEY",20,false,1,0,19,0,true,true,true,false,2021-07-19T00:00:00
3980,Amsterdam Ave & W 152 St,8069.01,-73.944279,40.829523,71,"CREDITCARD,KEY",20,false,1,1,18,0,true,true,true,false,2021-07-19T00:00:00
4025,Edgecombe Ave & W 150 St,8049.05,-73.941427,40.826881,71,"CREDITCARD,KEY",20,false,1,2,17,0,true,true,true,false,2021-07-19T00:00:00
4048,St. Nicholas Ave & W 157 St,8085.09,-73.94102,40.832314,71,"CREDITCARD,KEY",20,false,1,1,18,0,true,true,true,false,2021-07-19T00:00:00
4487,Pinehurst Ave & W 187 St,8458.03,-73.937878,40.855331,71,"CREDITCARD,KEY",20,false,1,1,18,0,true,true,true,false,2021-07-18T00:00:00
4599,Goulden Ave & W 197 St,8707.01,-73.89714,40.87156,71,"CREDITCARD,KEY",20,false,1,0,19,0,true,true,true,false,2021-07-19T00:00:00
4626,Loring Pl North & W 183 St,8555.05,-73.9093359997,40.8604244,71,"CREDITCARD,KEY",20,false,1,0,19,0,true,true,true,false,2021-07-18T00:00:00
3615,44 Dr & 21 St,6278.04,-73.9460927,40.748,71,"CREDITCARD,KEY",21,false,1,1,19,0,true,true,true,false,2021-07-18T00:00:00
3925,E 138 St & Canal St W,7803.03,-73.929153,40.812304,71,"CREDITCARD,KEY",21,false,1,0,20,0,true,true,true,false,2021-07-19T00:00:00
4050,W 159 St & Edgecombe Ave,8119.05,-73.939326,40.833303,71,"CREDITCARD,KEY",21,false,1,0,20,0,true,true,true,false,2021-07-18T00:00:00
